,id,object_name,chain,object_type,address,number
2189,20928,ГОУ МГПУ ОБЪЕДИНЕНИЕ СЕРВИС,нет,буфет,"город Москва, Шереметьевская улица, дом 29",45
2190,28759,ГБОУ Школа №962 (1491),нет,столовая,"город Москва, Каргопольская улица, дом 13, корпус 2",175
2191,28750,ГБОУ Школа № 950 (966),нет,столовая,"город Москва, улица Декабристов, дом 40",175
2192,27657,СТОЛОВАЯ-ДОГОТОВОЧНАЯ ПРИ ШК. 1038,нет,столовая,"город Москва, Ясный проезд, дом 21",120
2193,27459,СТОЛ. ПРИ ШК. 967,нет,столовая,"город Москва, Сухонская улица, дом 13",300
2194,28766,ГБОУ Школа №1411,нет,столовая,"город Москва, Северный бульвар, дом 1А",120
2195,28719,СТОЛОВАЯ ПРИ ШК. N1682,нет,столовая,"город Москва, Белозерская улица, дом 7",240
2196,25272,Ланчтайм,нет,кафе,"город Москва, Амурская улица, дом 7, строение 3",35
2197,28801,СТОЛОВАЯ при колледже № 21,нет,столовая,"город Москва, Вербная улица, дом 4, строение 1",252
2198,83993,Столовая,нет,столовая,"город Москва, улица Стромынка, дом 20",100
2199,29238,СТОЛОВАЯ КОЛЛЕДЖА 23 ИНДУСТРИИ ГОСТЕПРИИМСТВА И,нет,столовая,"город Москва, Малая Семёновская улица, дом 15",80
2200,133155,Папа Джонс,да,предприятие быстрого обслуживания,"город Москва, Краснобогатырская улица, дом 38, строение 2",10
2201,21579,Буфет при ГБОУ города Москвы «Школа № 1505»,нет,буфет,"город Москва, 2-я Пугачёвская улица, дом 6",60
2202,29239,Столовая 1404,нет,столовая,"город Москва, Большая Ширяевская улица, дом 11",80
2203,157564,Хлеб Насущный,да,кафе,"город Москва, улица Сретенка, дом 36",15
2204,147328,BB&Burgers,нет,ресторан,"город Москва, улица Сретенка, дом 36",48
2205,21886,EXLIBRIS,нет,кафе,"город Москва, Бобров переулок, дом 6, строение 1",40
2206,22455,Кофейня,нет,кафе,"город Москва, Новая Басманная улица, дом 13/2, строение 1",24
2207,25992,Сирена,нет,ресторан,"город Москва, Большая Спасская улица, дом 15, строение 4",90
2208,21399,ШКОЛЬНАЯ СТОЛОВАЯ № 1210,нет,столовая,"город Москва, улица Гамалеи, дом 17, корпус 1",95
2209,24647,ВИЛЛА ГУСТА НАГАСАКИ,нет,кафе,"город Москва, улица Декабристов, дом 15, строение 2",120
2210,29847,КУЛИНАРИЯ,нет,магазин (отдел кулинарии),"город Москва, Авиационная улица, дом 17, строение 4",13
2211,25928,ЗАГОРОДНЫЙ,нет,ресторан,"город Москва, Авиационная улица, дом 17",300
2212,125798,Пицца Pomodoro и Суши Дзен,да,кафе,"город Москва, Таллинская улица, дом 7",10
2213,27833,СТОЛОВАЯ,нет,столовая,"город Москва, 3-я Хорошёвская улица, дом 11",40
2214,24644,JohnyJosper Pub,нет,ресторан,"город Москва, проспект Маршала Жукова, дом 60",60
2215,22260,Хинкальня,нет,кафе,"город Москва, Живописная улица, дом 14",40
2216,138268,Пекарня,нет,закусочная,"город Москва, улица Маршала Катукова, дом 17, корпус 1",0
2217,145693,Домино'с Пицца,да,кафе,"город Москва, улица Маршала Катукова, дом 10",10
2218,149690,Додо пицца,да,кафе,"город Москва, улица Кулакова, дом 9, корпус 1",45
2219,58469,Кафе «Карамель»,нет,кафе,"город Москва, Дружинниковская улица, дом 15",100
2220,27738,Ресторан «СТОЛОВАЯ ПРИ КОНСЕРВАТОРИИ»,нет,ресторан,"город Москва, Большая Никитская улица, дом 13",148
2221,153792,Консерватория им. П.И. Чайковского,нет,буфет,"город Москва, Большая Никитская улица, дом 13",4
2222,74559,Кофемания,да,кафе,"город Москва, Большая Никитская улица, дом 13",35
2223,27781,ПРЕСТО,нет,столовая,"город Москва, Моховая улица, дом 11, строение 10",40
2224,26807,СТУДИОРУМ,нет,ресторан,"город Москва, Моховая улица, дом 11, строение 1",75
2225,153532,Столовая МПЭК РЭУ им. Г.В. Плеханова,нет,столовая,"город Москва, Большой Трёхгорный переулок, дом 11, строение 1",50
2226,144105,Кальянная «Шишка»,нет,кафе,"город Москва, Большая Садовая улица, дом 14, строение 6",40
2227,21511,Кафе «ЦЕНТРАЛЬНЫЙ ДОМ ЛИТЕРАТОРОВ»,нет,кафе,"город Москва, Поварская улица, дом 50/53, строение 1",48
2228,24189,Кафе «Ботаника»,нет,кафе,"город Москва, Большая Грузинская улица, дом 61, строение 1",75
2229,24192,Ресторан «Ugolёk»,нет,ресторан,"город Москва, Большая Никитская улица, дом 12, строение 1",80
2230,129860,Кафе «Северяне»,нет,кафе,"город Москва, Большая Никитская улица, дом 12, строение 1",45
2231,26472,Вьеткафе,да,ресторан,"город Москва, Газетный переулок, дом 3-5, строение 1",52
2232,156643,Кафе «Шенк»,нет,кафе,"город Москва, Газетный переулок, дом 3-5, строение 1",15
2233,24738,Да Пино,да,кафе,"город Москва, Большая Бронная улица, дом 23, строение 1",148
2234,153796,Городская поликлиника 220,нет,буфет,"город Москва, улица Заморёнова, дом 27",50
2235,154759,Кулинарная лавка «Добавка»,нет,бар,"город Москва, Рочдельская улица, дом 15, строение 1",49
2236,144769,Кафе «Silver Panda»,нет,кафе,"город Москва, Рочдельская улица, дом 15, строение 1",10
2237,20326,Кафе «Телескоп»,нет,кафе,"город Москва, Садовая-Кудринская улица, дом 5, строение 1",25
2238,26042,Ресторан «ХеппиЭнд»,нет,ресторан,"город Москва, Спиридоньевский переулок, дом 9, строение 1",122
2239,26046,Ресторан «Домжур»,нет,ресторан,"город Москва, Никитский бульвар, дом 8-А/3, строение 1",250
2240,24164,Ресторан «Винный рынок»,нет,кафе,"город Москва, Никитский бульвар, дом 8-А/3, строение 1",45
2241,26049,Ресторан «Ля Таверна»,нет,ресторан,"город Москва, Шмитовский проезд, дом 3, строение 1",80
2242,24163,Бар караоки «22»,нет,кафе,"город Москва, Васильевская улица, дом 13, строение 1",150
2243,29142,Школа «№123»,нет,столовая,"город Москва, Хлыновский тупик, дом 3, строение 1",50
2244,24284,Ресторан «Butler»,нет,ресторан,"город Москва, Трёхпрудный переулок, дом 15",95
2245,129820,Ресторан «Лук Кафе»,нет,ресторан,"город Москва, Большая Никитская улица, дом 24/1, строение 6",75
2246,125871,Бар «Киану»,нет,бар,"город Москва, Малая Бронная улица, дом 28",28
2247,140415,Кафе «Маргарита Бистро»,нет,кафе,"город Москва, Малая Бронная улица, дом 28",32
2248,88186,Кафе «Цитадель»,нет,кафе,"город Москва, Большая Грузинская улица, дом 52",58
2249,147904,Пекарня «Волконский хлеб»,нет,магазин (отдел кулинарии),"город Москва, Большая Садовая улица, дом 2/46, строение 1",40
2250,150436,Кафе «Хлеб насущный»,нет,кафе,"город Москва, Большая Садовая улица, дом 2/46, строение 1",20
2251,24211,Ресторан «CORREAS»,нет,ресторан,"город Москва, Большая Грузинская улица, дом 32-34, строение 3",48
2252,140418,Кафе «Хинкальный Дворик»,нет,кафе,"город Москва, улица Литвина-Седого, дом 10, строение 3",15
2253,107224,Ресторан «Наршараб»,нет,ресторан,"город Москва, улица Литвина-Седого, дом 10, строение 2",50
2254,24263,Кафе «Bistrot canaille»,нет,кафе,"город Москва, Большая Бронная улица, дом 11",48
2255,109776,Ресторан «Remi Kiеchen»,нет,ресторан,"город Москва, Малая Бронная улица, дом 2, строение 1",60
2256,26953,Старина Миллер,да,ресторан,"город Москва, Шмитовский проезд, дом 2, строение 1",280
2257,24168,Кафе «ВИНОТЕКА-ПРОСТЫЕ ВЕЩИ»,нет,кафе,"город Москва, Большая Никитская улица, дом 14/2, строение 7",70
2258,153605,Ресторан «Sun and Moon»,нет,ресторан,"город Москва, Большая Никитская улица, дом 15, строение 1",50
2259,138391,Ресторан «Cutfish»,нет,ресторан,"город Москва, Большой Козихинский переулок, дом 17, строение 2",25
2260,152523,Антикинотеатр «NewTone»,нет,кафе,"город Москва, Хлебный переулок, дом 2/3, строение 3",25
2261,151275,Ресторан «Винтаж»,нет,ресторан,"город Москва, Большая Никитская улица, дом 60, строение 1",35
2262,151874,Кафе Маритоццо,нет,кафе,"город Москва, Малая Бронная улица, дом 24, строение 1",25
2263,146437,Ресторан «Maritozzo»,нет,ресторан,"город Москва, Малая Бронная улица, дом 24, строение 1",150
