,UM_CODE,UM_NAMEF,global_id,UM_NAMES,UM_TRANS,UM_TYPE,UM_TM,UM_TE,UM_KLADR,Unnamed: 9
3942,063755,108-й километр Московской Кольцевой Автодороги,58485065,108-й км МКАД,Sto Vos`moj kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0407,,
3943,063756,109-й километр Московской Кольцевой Автодороги,58485066,109-й км МКАД,Sto Devyaty'j kilometr Moskovskoj Kol`czevoj Avtodorogi,045,,0407,77000000000725100,
3944,064213,Новоясеневский тупик,58485067,Новоясеневский туп.,Novoyasenevskij tupik,007,,0621;0712,77000000000732100,
3945,064302,Новоандреевский мост,58485068,Новоандреевский мост,Novoandreevskij most,011,,0109;0702,,
3946,065076,Переведеновский тупик,58485069,Переведеновский туп.,Perevedenovskij tupik,007,,0102,77000000000743400,
3947,065107,проезд № 474,58485070,пр. № 474,proezd № Chety'resta Sem`desyat Chety're,003,,1012,77000002000452200,
3948,065108,проезд № 4801,58485072,пр. № 4801,proezd № Chety're Ty'syachi Vosem`sot Odin,003,,1009,77000002000452300,
3949,065110,проезд № 4807,58485073,пр. № 4807,proezd № Chety're Ty'syachi Vosem`sot Sem`,003,,1010,77000002000452400,
3950,065111,проезд № 4921,58485074,пр. № 4921,proezd № Chety're Ty'syachi Devyat`sot Dvadczat` Odin,003,,1010,77000002000452800,
3951,065112,проезд № 4922,58485075,пр. № 4922,proezd № Chety're Ty'syachi Devyat`sot Dvadczat` Dva,003,,1012,77000002000452900,
3952,065113,Каштановая аллея,58485076,Каштановая аллея,Kashtanovaya alleya,009,,1010,77000002000454500,
3953,065114,проезд № 5253,58485077,пр. № 5253,proezd № Pyat` Tyu'syach Dvesti Pyat`desyat Tri,003,,1010,77000002000453300,
3954,065115,Алабушевская улица,58485078,Алабушевская ул.,Alabushevskaya ulicza,001,,1011,77000002000455500,
3955,065116,Филаретовская улица,58485079,Филаретовская ул.,Filaretovskaya ulicza,001,,1011,77000002000454900,
3956,065117,проезд № 5526,58485080,пр. № 5526,proezd № Pyat` Tyu'syach Pyat'sot Dvadczat` Shest`,003,,1010,77000002000454100,
3957,065119,улица Александровка,58485081,ул. Александровка,ulicza Aleksandrovka,001,,1005,77000002000455100,
3958,065135,проектируемый проезд № 4294,58485082,пр.пр. № 4294,proektiruemy'j proezd № Chety're Ty'syachi Dvesti Devyanosto Chety're,032,,0511,77000000000413800,
3959,065138,проектируемый проезд № 5112,58485083,пр.пр. № 5112,proektiruemy'j proezd № Pyat` Ty'syach Sto Dvenadczat`,032,,0511,77000000000435000,
